349T    psm13
171T    sl279
130T    el114
60T    mk446
27T    ljl11
22T    wx21
21T    sl325
11T    yj12
10.0T    gde4
9.1T    lp104
7.8T    ff35
7.7T    dsd9
7.5T    rx12
6.5T    jf154
6.0T    ly55
4.0T    jy65
3.8T    jw323
3.0T    ns250
2.5T    ks282
2.4T    sg325
2.2T    so108
1.7T    ml314
1.7T    bha6
1.6T    lc265
1.2T    clb36
1.1T    rb235
1008G    tk115
846G    jl535
782G    pvk1
769G    spk8
494G    mf195
455G    jz117
384G    nn38
266G    sp88
209G    rp101
100G    wp32
74G    nc70
70G    sz82
44G    hx34
1.5G    ng59
1.2G    orchestra_refinery
346M    td61
1.2M    is82
771K    mp205
529    gatekeeper
0    sy150
